Company,Website,Industry,Funding Stage,Last Funding,Signal Type,Signal Detail,Current Ad Platforms,Newsletter Fit,Priority Score,Outreach Angle,Contact Target
Wiz,https://www.wiz.io,Cybersecurity,Series E,$1B Series E (May 2026),Recent Funding + Active Ads,"Massive cloud security platform with heavy paid search presence; recently turned down Google acquisition to pursue IPO. Running aggressive demand gen campaigns targeting CISOs and cloud engineers.",LinkedIn; Google Ads; Meta,TLDR InfoSec; TLDR DevOps; TLDR Tech,9,Wiz is scaling demand gen ahead of IPO — TLDR reaches 340K InfoSec + 250K DevOps professionals with 43-44% open rates; perfect complement to their LinkedIn-heavy strategy,VP Demand Generation
Cursor,https://www.cursor.com,Developer Tools,Series B,$105M Series B (Jan 2026),Recent Funding + Active Ads,"AI-native code editor with explosive developer adoption. Running Google Search ads on 'AI coding assistant' and 'VS Code alternative' keywords. Developer-first product with strong word-of-mouth.",Google Ads; LinkedIn,TLDR Dev; TLDR AI; TLDR Tech,9,Cursor's core users ARE TLDR readers — 375K developers in TLDR Dev plus 725K in TLDR AI. Native newsletter placement reaches devs in their morning routine before they open their IDE,Head of Growth
Anthropic,https://www.anthropic.com,AI/ML Platforms,Series E,$2B+ Series E (2026),Existing Advertiser Expansion,"Already a TLDR advertiser but expanding Claude enterprise offerings aggressively. Increasing paid search spend on enterprise AI keywords. Opportunity to upsell across more newsletter verticals.",LinkedIn; Google Ads; TLDR,TLDR AI; TLDR Tech; TLDR Dev,8,Anthropic already knows TLDR works — pitch expanding Claude Enterprise campaigns across TLDR Dev and TLDR Tech to reach engineering decision-makers evaluating AI coding tools,Head of Enterprise Marketing
Vercel,https://www.vercel.com,Developer Tools,Series D,$250M Series D (2024),Active Ads + Market Expansion,"Leading frontend cloud platform expanding into enterprise. Running heavy Google Ads on 'deploy Next.js' and 'serverless platform' terms. Enterprise push means larger budgets and need for executive reach.",Google Ads; LinkedIn; Content Sponsorships,TLDR Dev; TLDR Tech; TLDR DevOps,8,Vercel's enterprise push needs executive-level reach — TLDR's 30%+ manager-and-above readership is ideal for their 'frontend cloud for enterprises' positioning,VP Marketing
Mistral AI,https://mistral.ai,AI/ML Platforms,Series B,$640M Series B (Jun 2025),Recent Funding + Active Ads,"European AI challenger gaining enterprise traction. Expanding US market presence with paid campaigns targeting 'open source LLM' and 'enterprise AI' keywords. Needs US developer awareness.",LinkedIn; Google Ads,TLDR AI; TLDR Tech; TLDR Dev,8,Mistral's US expansion needs developer mindshare — 725K AI subscribers at 45% open rates deliver the exact technical audience evaluating LLM providers,Head of Growth
Snyk,https://www.snyk.io,Cybersecurity,Series G,$530M+ total raised,Active Ads + Category Leader,"Developer security leader running extensive paid campaigns on 'SAST' 'SCA' and 'DevSecOps' keywords. Consistent LinkedIn and Google advertiser targeting security-conscious developers.",LinkedIn; Google Ads; Meta,TLDR InfoSec; TLDR Dev; TLDR DevOps,8,Snyk targets the intersection of developers and security — TLDR's portfolio uniquely covers both audiences with InfoSec (340K) and Dev (375K) newsletters,Director of Demand Gen
Grafana Labs,https://grafana.com,DevOps,Series D,$240M Series D (2024),Active Ads + Expansion,"Open-source observability leader expanding cloud offering. Running Google Ads on monitoring and observability keywords. Growing enterprise sales team and marketing spend.",Google Ads; LinkedIn; Sponsorships,TLDR DevOps; TLDR Dev; TLDR Tech,8,TLDR DevOps (250K subscribers) is literally built for Grafana's ICP — DevOps engineers evaluating observability tools read TLDR before checking Hacker News,VP Marketing
Perplexity AI,https://www.perplexity.ai,AI/ML Platforms,Series B,$520M Series B (2024),Recent Funding + Active Ads,"AI search challenger with massive consumer and enterprise growth. Running Google Ads competing on 'AI search engine' keywords. Enterprise tier launch means B2B budget allocation.",Google Ads; Meta; Podcasts,TLDR AI; TLDR Tech,7,Perplexity's enterprise tier launch needs CTO and VP Engineering awareness — TLDR Tech reaches 1.6M tech professionals including the exact decision-makers evaluating AI tools,Head of Enterprise Marketing
Neon,https://neon.tech,Data Infrastructure,Series C,$104M Series C (2025),Recent Funding + Developer Focus,"Serverless Postgres provider gaining developer traction. Running Google Ads on 'serverless database' and 'Postgres alternative' keywords. Developer-first GTM.",Google Ads; LinkedIn,TLDR Dev; TLDR DevOps; TLDR Data,7,Neon's developer-first GTM is a perfect fit for TLDR's native ad format — placement reads like editorial and reaches database-savvy devs,VP Marketing
Baseten,https://www.baseten.co,AI/ML Platforms,Series B,$60M Series B (2025),Recent Funding + Active Ads,"ML inference platform gaining traction. Running Google Ads targeting 'deploy ML models' and 'LLM inference' keywords. Serving AI-first companies deploying models at scale.",Google Ads; LinkedIn,TLDR AI; TLDR Dev,7,Baseten targets ML engineers deploying models — TLDR AI's 725K subscribers are exactly the audience evaluating inference infrastructure,Head of Growth
