Company,Website,Industry,Funding Stage,Last Funding,Signal Type,Signal Detail,Current Ad Platforms,Newsletter Fit,Priority Score,Outreach Angle,Contact Target
Wiz,wiz.io,Cybersecurity,Series E,"$1B Series E (2024, $12B valuation)",Active Paid Ads + Recent Mega-Round,"Fastest-growing cybersecurity company; $500M+ ARR; heavy LinkedIn and Google ad spend on cloud security keywords","LinkedIn, Google, Meta","TLDR InfoSec, TLDR Tech",9,"Cloud security leader overpaying on LinkedIn. Pitch multi-newsletter InfoSec + Tech package with 50% lower CPC proof point.",VP of Demand Generation
Vercel,vercel.com,Developer Tools,Series E,$250M Series E (2024),Active Paid Ads + Platform Growth,"Behind Next.js; 250K+ developers on platform; actively running Google/LinkedIn ads for deployment and dev experience","Google, LinkedIn, Meta","TLDR Dev, TLDR Tech",9,"Developer platform already running paid search. TLDR Dev gives them 375K devs in one buy — more than a month of LinkedIn campaigns.",Head of Developer Marketing
Mistral AI,mistral.ai,AI/ML Platforms,Series B,"€600M Series B (2024)",Recent Mega-Round + Market Expansion,"Leading European AI company expanding US market; competing with OpenAI/Anthropic for developer mindshare","Google, Meta","TLDR AI, TLDR Tech",9,"European AI challenger scaling US GTM. TLDR AI (725K subscribers) is the highest-concentration AI audience available.",Head of Go-to-Market (US)
Cribl,cribl.io,Data Infrastructure,Series D,$150M Series D (2023),Active Paid Ads + Category Growth,"Observability data platform targeting DevOps and security teams; competing with Datadog and Splunk","LinkedIn, Google","TLDR DevOps, TLDR InfoSec",8,"Differentiating from Datadog/Splunk. TLDR DevOps + InfoSec reaches both their buyer personas in a single buy.",VP Marketing
Coder,coder.com,Developer Tools,Series B+,$30M Series B+ (2024),Active Paid Ads + Competitive Positioning,"Cloud dev environments competing with GitHub Codespaces; increasing paid search presence","Google, LinkedIn","TLDR Dev, TLDR Tech",8,"Counter-positioning channel vs. GitHub's brand dominance. TLDR Dev readers are evaluating dev environment tools.",Head of Growth
RunPod,runpod.io,AI/ML Infrastructure,Series A+,Undisclosed (2024),Active Paid Ads + Category Surge,"GPU cloud for AI workloads; growing rapidly with AI infrastructure demand","Google, Meta","TLDR AI, TLDR Tech",8,"GPU cloud riding the AI infrastructure wave. TLDR AI primary placement reaches ML engineers who need compute.",VP Marketing
Neon,neon.tech,Developer Tools / Database,Series C,$104M Series C (2024),Recent Funding + Active Ads,"Serverless Postgres competing with PlanetScale and Supabase; running new Google Ads campaigns","Google, LinkedIn","TLDR Dev, TLDR Tech",8,"Post-PlanetScale free tier controversy, developers are evaluating alternatives. TLDR Dev is where that evaluation happens.",Head of Growth Marketing
Axonius,axonius.com,Cybersecurity,Series E,$200M Series E,Active Paid Ads,"Cybersecurity asset management platform; heavy LinkedIn ad spend on security keywords",LinkedIn,"TLDR InfoSec, TLDR Tech",7,"Heavy LinkedIn spender. Pitch 50% lower CPC with TLDR InfoSec's 340K security-focused subscribers.",VP Demand Gen
Temporal,temporal.io,Developer Tools,Series B,$75M Series B,Active Paid Ads + Developer Adoption,"Workflow orchestration platform; active Google ads targeting backend engineers",Google,"TLDR Dev, TLDR Tech",7,"Backend engineering tool with active Google ads. TLDR Dev reaches their exact ICP more efficiently than keyword bidding.",Head of Marketing
Weights & Biases,wandb.ai,AI/ML Platforms,Series D,$250M Series D (2024),Recent Funding + Competitor Newsletter Ads,"ML experiment tracking; advertising on competitor newsletters; active LinkedIn/Google campaigns","LinkedIn, Google, Newsletter","TLDR AI, TLDR Tech",8,"Already advertising on competitor newsletters. TLDR AI's 725K subscribers at 45% open rate is the highest-reach alternative.",VP Marketing
Postman,postman.com,Developer Tools,Series D,Series D,Active Paid Ads + Market Leader,"API platform with 30M+ users; heavy paid search on API-related keywords","Google, LinkedIn","TLDR Dev, TLDR Tech",7,"API platform with massive developer base. Brand play for TLDR Tech primary placement to maintain market leadership.",Head of Growth
Tailscale,tailscale.com,DevOps / Networking,Series B,$100M Series B,Active Paid Ads,"Zero-config VPN/networking; Google ads active on networking/VPN keywords","Google, LinkedIn","TLDR DevOps, TLDR InfoSec",7,"DevOps networking tool with overlapping DevOps + security audiences. Package TLDR DevOps + InfoSec.",VP Marketing
Glean,glean.com,AI / Enterprise,Series D,"$200M Series D (2024, $4.6B)",Recent Mega-Round + Market Expansion,"Enterprise AI search; targeting CTOs and engineering leaders evaluating AI infrastructure","Google, LinkedIn, Meta","TLDR Tech, TLDR AI",8,"Enterprise AI at $4.6B valuation with massive marketing budget. TLDR Tech primary for CTO/VP Eng reach.",CMO
Sardine,sardine.ai,Fintech / Fraud,Series B,$51M Series B (2023),Recent Funding + New Category,"Fraud prevention API for fintech; beginning paid acquisition for developer-facing product","Google, LinkedIn","TLDR Fintech, TLDR Tech",7,"Fintech fraud prevention with developer API angle. Dual placement: TLDR Fintech for fintech buyers + TLDR Dev for API developers.",Head of Marketing
Harness,harness.io,DevOps,Series D,$150M+ raised,Active Paid Ads,"CI/CD and DevOps platform; active Google/LinkedIn ads on CI/CD and DevOps keywords","Google, LinkedIn","TLDR DevOps, TLDR Tech",7,"CI/CD platform currently spending on LinkedIn. TLDR DevOps is the most efficient reach channel for DevOps engineers.",VP Demand Gen
