Company,Website,Industry,Funding Stage,Last Funding,Signal Type,Signal Detail,Current Ad Platforms,Newsletter Fit,Priority Score,Outreach Angle,Contact Target
Wiz,wiz.io,Cybersecurity,Series E,"$1B Series E (2024), $12B valuation",Recent Funding + Active Ads,"Cloud security leader with fastest SaaS growth trajectory; heavy ad spend across LinkedIn and Google",LinkedIn; Google Search,"TLDR InfoSec, TLDR Tech, TLDR DevOps",9,Cloud security leader — TLDR InfoSec + Tech reaches CISOs and DevSecOps. Pitch multi-newsletter bundle.,VP of Growth Marketing
Cursor,cursor.com,AI/Developer Tools,Series B,"$105M Series B (2024)",Recent Funding + Product-Led Growth,"AI code editor with millions of developers; every TLDR reader is a potential user",LinkedIn; X/Twitter,"TLDR Dev, TLDR AI, TLDR Tech",9,AI coding tool — TLDR Dev + AI audience is their core user base. Developer-first GTM.,Head of Growth
Databricks,databricks.com,Data Infrastructure / AI,Late Stage,"$10B+ raised, $62B+ valuation",Enterprise GTM + Active Ads,"Data + AI platform scaling enterprise marketing; heavy cross-channel spend","LinkedIn; Google; Events","TLDR AI, TLDR Data, TLDR Tech",9,Enterprise data + AI platform — TLDR AI + Data multi-newsletter bundle for quarterly campaigns.,VP of Demand Generation
Vercel,vercel.com,Developer Tools / Cloud,Series E,"$250M Series E (2024), $3.25B valuation",Recent Funding + Active Ads,"Frontend cloud platform with active developer marketing campaigns",LinkedIn; Google,"TLDR Dev, TLDR Tech",8,Frontend cloud platform — every TLDR Dev reader is a potential user.,Head of Growth Marketing
Mistral AI,mistral.ai,AI/ML Platforms,Series B,"€600M Series B (2024)",Recent Funding + Market Entry,"European AI challenger building US developer presence; increasing marketing spend",LinkedIn; Events,"TLDR AI, TLDR Tech",8,European AI challenger building US developer awareness — TLDR AI is highest-concentration AI dev audience.,VP Marketing
Snyk,snyk.io,Cybersecurity / DevSecOps,Series G,$300M+ total raised,Competitor Newsletter Advertiser,"Known advertiser on competitor newsletters; developer security platform",LinkedIn; Google; Newsletters,"TLDR InfoSec, TLDR Dev",8,Developer security platform — pitch shift-left security angle with TLDR InfoSec + Dev bundle.,Head of Demand Gen
Supabase,supabase.com,Developer Tools / Database,Series C,"$116M Series C (2024)",Recent Funding + Community Growth,"Firebase alternative for developers; active open-source community marketing",Community; LinkedIn,"TLDR Dev, TLDR Tech",8,Firebase alternative — TLDR Dev audience heavily overlaps with Supabase users.,Head of Growth
Linear,linear.app,Developer Tools / PM,Series C,$52M Series C,Competitor Newsletter Advertiser,"Issue tracking tool already advertising on Lenny's Newsletter",LinkedIn; Competitor Newsletters,"TLDR Product, TLDR Dev",7,Already advertising on competitor newsletters — TLDR offers 10x the developer reach.,VP Marketing
Cohere,cohere.com,AI/ML Platforms,Series D,"$500M Series D (2024)",Recent Funding + Enterprise Push,"Enterprise AI platform competing with OpenAI; increasing brand awareness spend",LinkedIn; Google; Events,"TLDR AI, TLDR Tech",7,Enterprise AI platform — TLDR AI reaches enterprise AI decision-makers at scale.,Head of Growth Marketing
RunPod,runpod.io,AI Infrastructure / Cloud,Series A,Series A (2024),Active Paid Search,"GPU cloud startup gaining traction; moving from organic to paid growth",Google Search; LinkedIn,"TLDR AI, TLDR DevOps",7,GPU cloud for AI developers — TLDR AI audience is their core target market.,VP Marketing
Neon,neon.tech,Database / Developer Tools,Series C,"$104M Series C (2024)",Recent Funding + Dev Community,"Serverless Postgres platform in growth phase post-Series C",Community; LinkedIn,"TLDR Dev, TLDR DevOps",7,Serverless Postgres — TLDR Dev + DevOps audience matches their developer persona.,Head of Growth
Chainguard,chainguard.dev,Cybersecurity / Supply Chain,Series C,"$140M Series C (2024)",Recent Funding + Active Ads,"Container security company with active LinkedIn campaigns targeting DevSecOps",LinkedIn; Google,"TLDR InfoSec, TLDR DevOps",7,Container security — TLDR InfoSec + DevOps for supply chain security awareness.,VP of Marketing
Weights & Biases,wandb.ai,AI/ML Tools,Series D,$250M Series D,Active Community Marketing,"ML experiment tracking platform active in ML community and events",Events; Community; LinkedIn,"TLDR AI, TLDR Dev",7,ML experiment tracking — TLDR AI audience of ML engineers and data scientists.,Head of Growth
Coder,coder.com,Developer Tools,Series C,$44M Series C,Enterprise Push,"Cloud development environments company growing enterprise dev environment push",LinkedIn; Google,"TLDR Dev, TLDR DevOps",6,Cloud dev environments — TLDR Dev + DevOps for enterprise development teams.,VP Marketing
Sardine,sardine.ai,Fintech / Fraud Prevention,Series C,"$70M Series C (2024)",Recent Funding + Active Ads,"Fraud and compliance platform with active LinkedIn and search campaigns",LinkedIn; Google Search,"TLDR Fintech, TLDR Tech",6,Fraud/compliance platform — TLDR Fintech for fintech decision-makers.,Head of Demand Generation
